PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,FarePerPerson
1,0,3,1,22.0,1,0,7.25,2,2,3.625
2,1,1,0,38.0,1,0,71.2833,0,2,35.64165
3,1,3,0,26.0,0,0,7.925,2,1,7.925
4,1,1,0,35.0,1,0,53.1,2,2,26.55
5,0,3,1,35.0,0,0,8.05,2,1,8.05
6,0,3,1,28.0,0,0,8.4583,1,1,8.4583
7,0,1,1,54.0,0,0,51.8625,2,1,51.8625
8,0,3,1,2.0,3,1,21.075,2,5,4.215
9,1,3,0,27.0,0,2,11.1333,2,3,3.7111
10,1,2,0,14.0,1,0,30.0708,0,2,15.0354
11,1,3,0,4.0,1,1,16.7,2,3,5.566666666666666
12,1,1,0,58.0,0,0,26.55,2,1,26.55
13,0,3,1,20.0,0,0,8.05,2,1,8.05
14,0,3,1,39.0,1,5,31.275,2,7,4.4678571428571425
15,0,3,0,14.0,0,0,7.8542,2,1,7.8542
16,1,2,0,55.0,0,0,16.0,2,1,16.0
17,0,3,1,2.0,4,1,29.125,1,6,4.854166666666667
18,1,2,1,28.0,0,0,13.0,2,1,13.0
19,0,3,0,31.0,1,0,18.0,2,2,9.0
20,1,3,0,28.0,0,0,7.225,0,1,7.225
21,0,2,1,35.0,0,0,26.0,2,1,26.0
22,1,2,1,34.0,0,0,13.0,2,1,13.0
23,1,3,0,15.0,0,0,8.0292,1,1,8.0292
24,1,1,1,28.0,0,0,35.5,2,1,35.5
25,0,3,0,8.0,3,1,21.075,2,5,4.215
26,1,3,0,38.0,1,5,31.3875,2,7,4.483928571428572
27,0,3,1,28.0,0,0,7.225,0,1,7.225
28,0,1,1,19.0,3,2,263.0,2,6,43.833333333333336
29,1,3,0,28.0,0,0,7.8792,1,1,7.8792
30,0,3,1,28.0,0,0,7.8958,2,1,7.8958
31,0,1,1,40.0,0,0,27.7208,0,1,27.7208
32,1,1,0,28.0,1,0,146.5208,0,2,73.2604
33,1,3,0,28.0,0,0,7.75,1,1,7.75
34,0,2,1,66.0,0,0,10.5,2,1,10.5
35,0,1,1,28.0,1,0,82.1708,0,2,41.0854
36,0,1,1,42.0,1,0,52.0,2,2,26.0
37,1,3,1,28.0,0,0,7.2292,0,1,7.2292
38,0,3,1,21.0,0,0,8.05,2,1,8.05
39,0,3,0,18.0,2,0,18.0,2,3,6.0
40,1,3,0,14.0,1,0,11.2417,0,2,5.62085
41,0,3,0,40.0,1,0,9.475,2,2,4.7375
42,0,2,0,27.0,1,0,21.0,2,2,10.5
43,0,3,1,28.0,0,0,7.8958,0,1,7.8958
44,1,2,0,3.0,1,2,41.5792,0,4,10.3948
45,1,3,0,19.0,0,0,7.8792,1,1,7.8792
46,0,3,1,28.0,0,0,8.05,2,1,8.05
47,0,3,1,28.0,1,0,15.5,1,2,7.75
48,1,3,0,28.0,0,0,7.75,1,1,7.75
49,0,3,1,28.0,2,0,21.6792,0,3,7.226400000000001
50,0,3,0,18.0,1,0,17.8,2,2,8.9
51,0,3,1,7.0,4,1,39.6875,2,6,6.614583333333333
52,0,3,1,21.0,0,0,7.8,2,1,7.8
53,1,1,0,49.0,1,0,76.7292,0,2,38.3646
54,1,2,0,29.0,1,0,26.0,2,2,13.0
55,0,1,1,65.0,0,1,61.9792,0,2,30.9896
56,1,1,1,28.0,0,0,35.5,2,1,35.5
57,1,2,0,21.0,0,0,10.5,2,1,10.5
58,0,3,1,28.5,0,0,7.2292,0,1,7.2292
59,1,2,0,5.0,1,2,27.75,2,4,6.9375
60,0,3,1,11.0,5,2,46.9,2,8,5.8625
61,0,3,1,22.0,0,0,7.2292,0,1,7.2292
62,1,1,0,38.0,0,0,80.0,2,1,80.0
63,0,1,1,45.0,1,0,83.475,2,2,41.7375
64,0,3,1,4.0,3,2,27.9,2,6,4.6499999999999995
65,0,1,1,28.0,0,0,27.7208,0,1,27.7208
66,1,3,1,28.0,1,1,15.2458,0,3,5.081933333333333
67,1,2,0,29.0,0,0,10.5,2,1,10.5
68,0,3,1,19.0,0,0,8.1583,2,1,8.1583
69,1,3,0,17.0,4,2,7.925,2,7,1.1321428571428571
70,0,3,1,26.0,2,0,8.6625,2,3,2.8874999999999997
71,0,2,1,32.0,0,0,10.5,2,1,10.5
72,0,3,0,16.0,5,2,46.9,2,8,5.8625
73,0,2,1,21.0,0,0,73.5,2,1,73.5
74,0,3,1,26.0,1,0,14.4542,0,2,7.2271
75,1,3,1,32.0,0,0,56.4958,2,1,56.4958
76,0,3,1,25.0,0,0,7.65,2,1,7.65
77,0,3,1,28.0,0,0,7.8958,2,1,7.8958
78,0,3,1,28.0,0,0,8.05,2,1,8.05
79,1,2,1,0.83,0,2,29.0,2,3,9.666666666666666
80,1,3,0,30.0,0,0,12.475,2,1,12.475
81,0,3,1,22.0,0,0,9.0,2,1,9.0
82,1,3,1,29.0,0,0,9.5,2,1,9.5
83,1,3,0,28.0,0,0,7.7875,1,1,7.7875
84,0,1,1,28.0,0,0,47.1,2,1,47.1
85,1,2,0,17.0,0,0,10.5,2,1,10.5
86,1,3,0,33.0,3,0,15.85,2,4,3.9625
87,0,3,1,16.0,1,3,34.375,2,5,6.875
88,0,3,1,28.0,0,0,8.05,2,1,8.05
89,1,1,0,23.0,3,2,263.0,2,6,43.833333333333336
90,0,3,1,24.0,0,0,8.05,2,1,8.05
91,0,3,1,29.0,0,0,8.05,2,1,8.05
92,0,3,1,20.0,0,0,7.8542,2,1,7.8542
93,0,1,1,46.0,1,0,61.175,2,2,30.5875
94,0,3,1,26.0,1,2,20.575,2,4,5.14375
95,0,3,1,59.0,0,0,7.25,2,1,7.25
96,0,3,1,28.0,0,0,8.05,2,1,8.05
97,0,1,1,71.0,0,0,34.6542,0,1,34.6542
98,1,1,1,23.0,0,1,63.3583,0,2,31.67915
99,1,2,0,34.0,0,1,23.0,2,2,11.5
100,0,2,1,34.0,1,0,26.0,2,2,13.0
101,0,3,0,28.0,0,0,7.8958,2,1,7.8958
102,0,3,1,28.0,0,0,7.8958,2,1,7.8958
103,0,1,1,21.0,0,1,77.2875,2,2,38.64375
104,0,3,1,33.0,0,0,8.6542,2,1,8.6542
105,0,3,1,37.0,2,0,7.925,2,3,2.6416666666666666
106,0,3,1,28.0,0,0,7.8958,2,1,7.8958
107,1,3,0,21.0,0,0,7.65,2,1,7.65
108,1,3,1,28.0,0,0,7.775,2,1,7.775
109,0,3,1,38.0,0,0,7.8958,2,1,7.8958
110,1,3,0,28.0,1,0,24.15,1,2,12.075
111,0,1,1,47.0,0,0,52.0,2,1,52.0
112,0,3,0,14.5,1,0,14.4542,0,2,7.2271
113,0,3,1,22.0,0,0,8.05,2,1,8.05
114,0,3,0,20.0,1,0,9.825,2,2,4.9125
115,0,3,0,17.0,0,0,14.4583,0,1,14.4583
116,0,3,1,21.0,0,0,7.925,2,1,7.925
117,0,3,1,70.5,0,0,7.75,1,1,7.75
118,0,2,1,29.0,1,0,21.0,2,2,10.5
119,0,1,1,24.0,0,1,247.5208,0,2,123.7604
120,0,3,0,2.0,4,2,31.275,2,7,4.4678571428571425
121,0,2,1,21.0,2,0,73.5,2,3,24.5
122,0,3,1,28.0,0,0,8.05,2,1,8.05
123,0,2,1,32.5,1,0,30.0708,0,2,15.0354
124,1,2,0,32.5,0,0,13.0,2,1,13.0
125,0,1,1,54.0,0,1,77.2875,2,2,38.64375
126,1,3,1,12.0,1,0,11.2417,0,2,5.62085
127,0,3,1,28.0,0,0,7.75,1,1,7.75
128,1,3,1,24.0,0,0,7.1417,2,1,7.1417
129,1,3,0,28.0,1,1,22.3583,0,3,7.452766666666666
130,0,3,1,45.0,0,0,6.975,2,1,6.975
131,0,3,1,33.0,0,0,7.8958,0,1,7.8958
132,0,3,1,20.0,0,0,7.05,2,1,7.05
133,0,3,0,47.0,1,0,14.5,2,2,7.25
134,1,2,0,29.0,1,0,26.0,2,2,13.0
135,0,2,1,25.0,0,0,13.0,2,1,13.0
136,0,2,1,23.0,0,0,15.0458,0,1,15.0458
137,1,1,0,19.0,0,2,26.2833,2,3,8.7611
138,0,1,1,37.0,1,0,53.1,2,2,26.55
139,0,3,1,16.0,0,0,9.2167,2,1,9.2167
140,0,1,1,24.0,0,0,79.2,0,1,79.2
141,0,3,0,28.0,0,2,15.2458,0,3,5.081933333333333
142,1,3,0,22.0,0,0,7.75,2,1,7.75
143,1,3,0,24.0,1,0,15.85,2,2,7.925
144,0,3,1,19.0,0,0,6.75,1,1,6.75
145,0,2,1,18.0,0,0,11.5,2,1,11.5
146,0,2,1,19.0,1,1,36.75,2,3,12.25
147,1,3,1,27.0,0,0,7.7958,2,1,7.7958
148,0,3,0,9.0,2,2,34.375,2,5,6.875
149,0,2,1,36.5,0,2,26.0,2,3,8.666666666666666
150,0,2,1,42.0,0,0,13.0,2,1,13.0
151,0,2,1,51.0,0,0,12.525,2,1,12.525
152,1,1,0,22.0,1,0,66.6,2,2,33.3
153,0,3,1,55.5,0,0,8.05,2,1,8.05
154,0,3,1,40.5,0,2,14.5,2,3,4.833333333333333
155,0,3,1,28.0,0,0,7.3125,2,1,7.3125
156,0,1,1,51.0,0,1,61.3792,0,2,30.6896
157,1,3,0,16.0,0,0,7.7333,1,1,7.7333
158,0,3,1,30.0,0,0,8.05,2,1,8.05
159,0,3,1,28.0,0,0,8.6625,2,1,8.6625
160,0,3,1,28.0,8,2,69.55,2,11,6.322727272727272
161,0,3,1,44.0,0,1,16.1,2,2,8.05
162,1,2,0,40.0,0,0,15.75,2,1,15.75
163,0,3,1,26.0,0,0,7.775,2,1,7.775
164,0,3,1,17.0,0,0,8.6625,2,1,8.6625
165,0,3,1,1.0,4,1,39.6875,2,6,6.614583333333333
166,1,3,1,9.0,0,2,20.525,2,3,6.841666666666666
167,1,1,0,28.0,0,1,55.0,2,2,27.5
168,0,3,0,45.0,1,4,27.9,2,6,4.6499999999999995
169,0,1,1,28.0,0,0,25.925,2,1,25.925
170,0,3,1,28.0,0,0,56.4958,2,1,56.4958
171,0,1,1,61.0,0,0,33.5,2,1,33.5
172,0,3,1,4.0,4,1,29.125,1,6,4.854166666666667
173,1,3,0,1.0,1,1,11.1333,2,3,3.7111
174,0,3,1,21.0,0,0,7.925,2,1,7.925
175,0,1,1,56.0,0,0,30.6958,0,1,30.6958
176,0,3,1,18.0,1,1,7.8542,2,3,2.6180666666666665
177,0,3,1,28.0,3,1,25.4667,2,5,5.0933399999999995
178,0,1,0,50.0,0,0,28.7125,0,1,28.7125
179,0,2,1,30.0,0,0,13.0,2,1,13.0
180,0,3,1,36.0,0,0,0.0,2,1,0.0
181,0,3,0,28.0,8,2,69.55,2,11,6.322727272727272
182,0,2,1,28.0,0,0,15.05,0,1,15.05
183,0,3,1,9.0,4,2,31.3875,2,7,4.483928571428572
184,1,2,1,1.0,2,1,39.0,2,4,9.75
185,1,3,0,4.0,0,2,22.025,2,3,7.341666666666666
186,0,1,1,28.0,0,0,50.0,2,1,50.0
187,1,3,0,28.0,1,0,15.5,1,2,7.75
188,1,1,1,45.0,0,0,26.55,2,1,26.55
189,0,3,1,40.0,1,1,15.5,1,3,5.166666666666667
190,0,3,1,36.0,0,0,7.8958,2,1,7.8958
191,1,2,0,32.0,0,0,13.0,2,1,13.0
192,0,2,1,19.0,0,0,13.0,2,1,13.0
193,1,3,0,19.0,1,0,7.8542,2,2,3.9271
194,1,2,1,3.0,1,1,26.0,2,3,8.666666666666666
195,1,1,0,44.0,0,0,27.7208,0,1,27.7208
196,1,1,0,58.0,0,0,146.5208,0,1,146.5208
197,0,3,1,28.0,0,0,7.75,1,1,7.75
198,0,3,1,42.0,0,1,8.4042,2,2,4.2021
199,1,3,0,28.0,0,0,7.75,1,1,7.75
200,0,2,0,24.0,0,0,13.0,2,1,13.0
201,0,3,1,28.0,0,0,9.5,2,1,9.5
202,0,3,1,28.0,8,2,69.55,2,11,6.322727272727272
203,0,3,1,34.0,0,0,6.4958,2,1,6.4958
204,0,3,1,45.5,0,0,7.225,0,1,7.225
205,1,3,1,18.0,0,0,8.05,2,1,8.05
206,0,3,0,2.0,0,1,10.4625,2,2,5.23125
207,0,3,1,32.0,1,0,15.85,2,2,7.925
208,1,3,1,26.0,0,0,18.7875,0,1,18.7875
209,1,3,0,16.0,0,0,7.75,1,1,7.75
210,1,1,1,40.0,0,0,31.0,0,1,31.0
211,0,3,1,24.0,0,0,7.05,2,1,7.05
212,1,2,0,35.0,0,0,21.0,2,1,21.0
213,0,3,1,22.0,0,0,7.25,2,1,7.25
214,0,2,1,30.0,0,0,13.0,2,1,13.0
215,0,3,1,28.0,1,0,7.75,1,2,3.875
216,1,1,0,31.0,1,0,113.275,0,2,56.6375
217,1,3,0,27.0,0,0,7.925,2,1,7.925
218,0,2,1,42.0,1,0,27.0,2,2,13.5
219,1,1,0,32.0,0,0,76.2917,0,1,76.2917
220,0,2,1,30.0,0,0,10.5,2,1,10.5
221,1,3,1,16.0,0,0,8.05,2,1,8.05
222,0,2,1,27.0,0,0,13.0,2,1,13.0
223,0,3,1,51.0,0,0,8.05,2,1,8.05
224,0,3,1,28.0,0,0,7.8958,2,1,7.8958
225,1,1,1,38.0,1,0,90.0,2,2,45.0
226,0,3,1,22.0,0,0,9.35,2,1,9.35
227,1,2,1,19.0,0,0,10.5,2,1,10.5
228,0,3,1,20.5,0,0,7.25,2,1,7.25
229,0,2,1,18.0,0,0,13.0,2,1,13.0
230,0,3,0,28.0,3,1,25.4667,2,5,5.0933399999999995
231,1,1,0,35.0,1,0,83.475,2,2,41.7375
232,0,3,1,29.0,0,0,7.775,2,1,7.775
233,0,2,1,59.0,0,0,13.5,2,1,13.5
234,1,3,0,5.0,4,2,31.3875,2,7,4.483928571428572
235,0,2,1,24.0,0,0,10.5,2,1,10.5
236,0,3,0,28.0,0,0,7.55,2,1,7.55
237,0,2,1,44.0,1,0,26.0,2,2,13.0
238,1,2,0,8.0,0,2,26.25,2,3,8.75
239,0,2,1,19.0,0,0,10.5,2,1,10.5
240,0,2,1,33.0,0,0,12.275,2,1,12.275
241,0,3,0,28.0,1,0,14.4542,0,2,7.2271
242,1,3,0,28.0,1,0,15.5,1,2,7.75
243,0,2,1,29.0,0,0,10.5,2,1,10.5
244,0,3,1,22.0,0,0,7.125,2,1,7.125
245,0,3,1,30.0,0,0,7.225,0,1,7.225
246,0,1,1,44.0,2,0,90.0,1,3,30.0
247,0,3,0,25.0,0,0,7.775,2,1,7.775
248,1,2,0,24.0,0,2,14.5,2,3,4.833333333333333
249,1,1,1,37.0,1,1,52.5542,2,3,17.518066666666666
250,0,2,1,54.0,1,0,26.0,2,2,13.0
251,0,3,1,28.0,0,0,7.25,2,1,7.25
